"Card","LiveBasal","DeadBasal","TotalBasal","LiveBasal_PLI","DeadBasal_PLI","TotalBasal_PLI","LiveBasal_FDI","DeadBasal_FDI","TotalBasal_FDI","LiveBasal_Spruce","DeadBasal_Spruce","TotalBasal_Spruce","LiveBasal_NonCon","DeadBasal_NonCon","TotalBasal_NonCon"
1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1430,0.00785398163397448,0,0.00785398163397448,0,0,0,0.00785398163397448,0,0.00785398163397448,0,0,0,0,0,0
1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,0.980333987552695,0,0.980333987552695,0,0,0,0.980333987552695,0,0.980333987552695,0,0,0,0,0,0
1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,0,0.575304154688631,0.575304154688631,0,0,0,0,0.575304154688631,0.575304154688631,0,0,0,0,0,0
1485,0.408564124599352,33.5817405112827,33.9903046358821,0.408564124599352,0.800791967400038,1.20935609199939,0,32.7809485438827,32.7809485438827,0,0,0,0,0,0
1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,0,0.693977817177985,0.693977817177985,0,0.693977817177985,0.693977817177985,0,0,0,0,0,0,0,0,0
1501,0,3.12250747821924,3.12250747821924,0,2.00881288252165,2.00881288252165,0,1.11369459569758,1.11369459569758,0,0,0,0,0,0
1502,0,9.13268838380187,9.13268838380187,0,0,0,0,9.13268838380187,9.13268838380187,0,0,0,0,0,0
1503,0,1.04332292025717,1.04332292025717,0,1.04332292025717,1.04332292025717,0,0,0,0,0,0,0,0,0
