Card,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
1807,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
158,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
159,4,3600,1,1,0,1,0,4,1,1,4,100,1,4,100,1,1
358,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
407,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
408,2,1800,1,2,1,1.5,0.5,3,2,1,1,50,1,1,50,1,2
454,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
801,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
844,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
845,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
846,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
847,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
851,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
852,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
892,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
893,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
894,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
895,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
899,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
933,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
974,2,1800,2,3,1,2.5,0.5,5,2,2,1,50,2,1,50,2,3
1012,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1068,2,1800,3,4,1,3.5,0.5,7,2,3,1,50,3,1,50,3,4
1069,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1160,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1200,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1235,4,3600,2,2,0,2,0,8,1,2,4,100,2,4,100,2,2
1272,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1273,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1276,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1319,2,1800,1,1,0,1,0,2,1,1,2,100,1,2,100,1,1
1320,2,1800,2,3,1,2.5,0.5,5,2,2,1,50,2,1,50,2,3
1321,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1322,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1356,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1421,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1099,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1207,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1209,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1247,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
1362,4,3600,3,4,1,3.5,0.5,14,2,3,2,50,3,2,50,3,4
814,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
1478,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
1482,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1487,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1507,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1508,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1526,4,3600,1,1,0,1,0,4,1,1,4,100,1,4,100,1,1
1535,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1538,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
1539,4,3600,1,2,1,1.25,0.433012702,5,2,1,3,75,2,1,25,1,2
1540,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1554,4,3600,2,2,0,2,0,8,1,2,4,100,2,4,100,2,2
1557,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1558,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
1559,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1560,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1567,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1569,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1571,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
1573,2,1800,1,2,1,1.5,0.5,3,2,1,1,50,1,1,50,1,2
1577,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1578,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1579,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1580,2,1800,1,2,1,1.5,0.5,3,2,1,1,50,1,1,50,1,2
1581,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1583,3,2700,1,2,1,1.666666667,0.471404521,5,2,2,2,66.66670227,1,1,33.33330154,2,2
1584,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
1587,4,3600,1,1,0,1,0,4,1,1,4,100,1,4,100,1,1
1591,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1592,4,3600,1,2,1,1.5,0.5,6,2,1,2,50,1,2,50,1,2
1594,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1596,2,1800,1,1,0,1,0,2,1,1,2,100,1,2,100,1,1
1598,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1601,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
1604,2,1800,1,1,0,1,0,2,1,1,2,100,1,2,100,1,1
1605,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1606,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
1607,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1608,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1609,2,1800,1,1,0,1,0,2,1,1,2,100,1,2,100,1,1
1617,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
1619,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1620,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1623,2,1800,2,3,1,2.5,0.5,5,2,2,1,50,2,1,50,2,3
1624,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
1627,4,3600,1,2,1,1.75,0.433012702,7,2,2,3,75,1,1,25,2,2
1628,2,1800,1,2,1,1.5,0.5,3,2,1,1,50,1,1,50,1,2
