"","Contract","Plot ID","Zone","Easting","Northing","Coordinate source","FDI_count_bin","PLI_count_bin","Spruce_count_bin","Species_1"
"39",NA,366,10,482023,5742502,"Field UTM",1,1,0,"FDI"
"40",NA,367,10,488027,5742250,"Field UTM",0,0,0,"PLI"
"41",NA,369,10,490027,5742157,"Field UTM",0,0,0,"PLI"
"42",NA,370,10,492043,5742089,"Field UTM",1,0,0,"PLI"
"43",NA,371,10,493026,5742020,"Field UTM",1,1,0,"FDI"
"44",NA,375,10,497027,5741869,"Field UTM",1,0,0,"FDI"
"45",NA,407,10,457057,5744547,"Field UTM",0,1,0,""
"46",NA,408,10,458052,5744506,"Field UTM",0,1,0,"PLI"
"47",NA,413,10,474057,5743825,"Field UTM",0,0,0,""
"48",NA,417,10,483063,5743453,"Field UTM",1,1,0,""
"49",NA,419,10,491066,5743112,"Field UTM",1,0,0,"PLI"
"50",NA,420,10,493063,5743027,"Field UTM",0,1,1,"PLI"
"51",NA,421,10,496067,5742903,"Field UTM",1,1,0,"FDI"
"52",NA,423,10,498070,5742814,"Field UTM",1,0,0,"FDI"
"53",NA,424,10,499073,5742771,"Field UTM",0,0,0,"AT"
"54",NA,425,10,500070,5742735,"Field UTM",0,0,0,"FDI"
"55",NA,454,10,456090,5745588,"Field UTM",1,1,0,"PLI"
"56",NA,456,10,459084,5745507,"Field UTM",0,1,0,"PLI"
"57",NA,460,10,477099,5744709,"Field UTM",1,1,0,"FDI"
"58",NA,464,10,485109,5744359,"Field UTM",1,1,0,"FDI"
"59",NA,466,10,495110,5743939,"Field UTM",1,1,1,"FDI"
"60",NA,467,10,496119,5743899,"Field UTM",1,1,0,"FDI"
"61",NA,496,10,458139,5746500,"Field UTM",NA,NA,NA,NA
"62",NA,499,10,474141,5745817,"Field UTM",0,0,0,"FDI"
"63",NA,502,10,478144,5745650,"Field UTM",1,0,0,"FDI"
"64",NA,503,10,479142,5745608,"Field UTM",1,0,0,"FDI"
"65",NA,505,10,484143,5745395,"Field UTM",1,1,0,"FDI"
"66",NA,506,10,494153,5744969,"Field UTM",1,1,1,"FDI"
"67",NA,535,10,473179,5746860,"Field UTM",0,1,0,"PLI"
"68",NA,536,10,475179,5746774,"Field UTM",1,1,1,"FDI"
"69",NA,538,10,477189,5746708,"Field UTM",1,1,0,"PLI"
"70",NA,540,10,480187,5746573,"Field UTM",0,1,0,""
"71",NA,541,10,484182,5746398,"Field UTM",1,0,1,"Spruce"
"72",NA,545,10,495192,5745927,"Field UTM",1,1,0,"FDI"
"73",NA,574,10,476224,5747743,"Field UTM",0,1,0,"PLI"
"74",NA,577,10,484230,5747389,"Field UTM",1,0,0,"FDI"
"75",NA,581,10,489241,5747184,"Field UTM",1,1,0,"FDI"
