,,Contract,Plot ID,Zone,Easting,Northing,Coordinate source,FDI_count_bin,PLI_count_bin,Sx_count_bin,Distance to FDI (m),Distance to PLI (m),Distance to Sx (m),Distance to tree,notes,notes 2,
0,,NA,1185,10,498880,5761759,Field UTM,0,1,0,,,,210.4,"Imagery bad, hard to tell what is regen and what is remant tree",,
0,,NA,1186,10,499876,5761710,Field UTM,0,1,0,,,,210.2,,,
0,,NA,1192,10,426225.8,5821730.1,Intended lat/long,0,1,0,,,,48.8,Same point as 2644,,
0,,NA,1200,10,444882,5765033,Field UTM,0,1,0,,,,79.6,,,
L,,NA,1207,10,461897,5764318,Field UTM,1,1,0,,,,,,Live tree on plot,
L,,NA,1209,10,463898,5764232,Field UTM,0,1,0,,,,,,Live tree on plot,
L,,NA,1214,10,478908,5763603,Field UTM,1,1,0,,,,,,Live tree on plot,
L,,NA,1219,10,483907,5763389,Field UTM,1,0,0,,,,,,Live tree on plot,
L,,NA,1220,10,492909,5763008,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,NA,1221,10,493910,5762962,Field UTM,1,1,0,,,,104.4,,,
0,,NA,1222,10,494914,5762922,Field UTM,1,1,0,,,,4.7,,,
L,,NA,1225,10,499922,5762710,Field UTM,1,1,0,,,,,,Live tree on plot,
L,,NA,1235,10,444935,5766031,Field UTM,1,1,0,,,,,,Live tree on plot,
0,,NA,1247,10,465936,5765152,Field UTM,1,1,0,,,,13.3,,,
L,,NA,1253,10,479951,5764554,Field UTM,1,0,0,,,,,,Live tree on plot,
0,-1.2,NA,1257,10,491954,5764043,Field UTM,1,0,0,,,,4.6,,,
L,,NA,1258,10,492953,5764009,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,NA,1259,10,493954,5763964,Field UTM,1,1,0,,,,5.2,,,
L,,NA,1261,10,495958,5763876,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,NA,1264,10,499969,5763708,Field UTM,0,1,0,,,,135.3,,,
0,,NA,1272,10,444966,5767025,Field UTM,0,1,0,,,,128.4,,,
0,,NA,1273,10,445971,5766989,Field UTM,0,1,0,,,,40.9,,,
L,,NA,1276,10,449977,5766820,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1294,10,491999,5765048,Field UTM,1,0,1,,,,13.7,,,
L,,NA,1295,10,492990,5765004,Field UTM,1,0,0,,,,,,Live tree on plot,
L,,NA,1297,10,495005,5764916,Field UTM,0,0,0,,,,,,Live tree on plot,
0,13.2,NA,1298,10,496001,5764873,Field UTM,1,0,0,,,,290.8,,,
L,,NA,1299,10,496989,5764837,Field UTM,1,0,0,,,,,,Live tree on plot,
L,,NA,1319,10,448013,5767892,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1320,10,449015,5767852,Field UTM,0,1,0,,,,6.1,,,
L,,NA,1321,10,450017,5767814,Field UTM,1,1,0,,,,,,Live tree on plot,
0,,NA,1322,10,451016,5767761,Field UTM,1,1,0,,,,6,,Live tree on plot,
0,,NA,1333,10,482034,5766460,Field UTM,1,0,1,,,,20.3,,,
0,,NA,1335,10,493042,5765997,Field UTM,1,1,1,,,,11.9,,,
0,-7,NA,1340,10,499046,5765741,Field UTM,0,1,0,,,,29.5,,,
L,,NA,1341,10,500050,5765697,Field UTM,0,1,0,,,,,,Live tree on plot,
L,,NA,1356,10,451071,5768783,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1362,10,468044,5768025,Field UTM,0,0,0,,,,1.9,,,
L,,NA,1364,10,479080,5767591,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,NA,1367,10,497089,5766822,Field UTM,1,1,0,,,,14,,,
L,,NA,1398,10,495171,5768898,Field UTM,1,1,1,,,,,,Live tree on plot,
0,,NA,1400,10,498166,5768773,Field UTM,0,1,0,,,,327.6,,Live tree on plot,
0,,NA,1401,10,499187,5768734,Field UTM,1,1,0,,,,74.8,,,
L,,NA,1413,10,494256,5770943,Field UTM,0,1,1,,,,,,Live tree on plot,
0,,NA,1421,10,482292,5772446,Field UTM,0,1,0,,,,9.3,,,
0,,NA,1422,10,483284,5772396,Field UTM,0,1,0,,,,10.9,,,
U,,NA,1423,10,494297,5771933,Field UTM,0,0,0,,,,,I think not measured/check data,,
0,,NA,1425,10,496300,5771847,Field UTM,1,1,1,,,,7.1,"Smaller tree 7.1 m, larger tree 12.6m",,
L,,NA,1430,10,473316,5773826,Field UTM,1,0,0,,,,,,Live tree on plot,
0,,NA,1438,10,466449,5777107,Field UTM,1,1,0,,,,7.4,,,
0,,NA,1440,10,473449,5776814,Field UTM,0,1,0,,,,13.5,,,
0,,NA,1450,10,472493,5777849,Field UTM,0,1,0,,,,30.3,,,
0,,CCR,1460,10,468542,5779019,Field UTM,1,0,0,,,,9.7,,,
0,,Toosey,1460,10,468557,5778977,Field UTM,1,0,0,,,,5.7,,,
0,,CCR,1461,10,472530,5778859,Field UTM,0,1,0,,,,16.7,,,
0,,Toosey,1461,10,472556,5778822,Field UTM,0,1,0,,,,29.4,,,
0,,CCR,1467,10,469573,5779970,Field UTM,0,0,0,,,,4,maybe not measured?,,
0,,Toosey,1467,10,469597,5779935,Field UTM,0,0,0,,,,7.9,,,
0,,NA,1476,10,425671.8046,5784812.604,Field lat/long,0,1,0,,,,567,,,
0,,NA,1478,10,473707,5782792,Field UTM,1,1,0,,,,95.5,,,
0,,NA,1479,10,424712.9534,5785851.452,Field lat/long,0,0,0,,,,78,,,
0,,NA,1481,10,426714.6897,5785766.8,Field lat/long,0,1,0,,,,16.7,,,
U,,NA,1482,10,471747.9129,5783873.245,Intended lat/long,0,0,0,,,,,unburnt/ not measured,,
0,,NA,1484,10,476512.3,5801644.5,Intended lat/long,0,0,0,,,,663.6,Close to 1754,,
L,,CCR,1485,10,431720.2039,5785553.973,Field lat/long,0,1,0,,,,live tree on plot,,Live tree on plot,
0,-2.3,NA,1487,10,471743,5783877,Field UTM,0,1,0,,,,222.7,in plantation,Almost on top of 1482,
0,,NA,1498,10,428757.6618,5786679.014,Field lat/long,0,1,0,304,325,,304,,,
0,,NA,1500,10,485519.6,5801264.8,Intended lat/long,0,1,0,,,,7.3,Same as 1760,,
0,,NA,1501,10,489522.9,5801096,Intended lat/long,0,1,0,,,,219.4,Same as 1761,,
0,,NA,1502,10,414500.6,5805249.3,Intended lat/long,0,0,0,,,,17.6,Same as 1770,,
0,,NA,1503,10,415501.5,5805207.4,Intended lat/long,0,1,0,,,,10,Same as 1771,,
0,,NA,1504,10,417503.4,5805123.4,Intended lat/long,1,1,0,,,,34.7,Same as 1772,,
0,,NA,1505,10,436764.9112,5786341.323,Field lat/long,0,1,0,,160,,160,,,
0,,NA,1507,10,469788,5784958,Field UTM,1,1,0,,,,24.2,,,
0,,NA,1508,10,474797,5784749,Field UTM,0,1,0,,,,86.8,,,
0,44.1,NA,1510,10,425796.4417,5787801.724,Field lat/long,0,0,0,,,,895.2,fix regen species,,
1,,NA,1511,10,428456.5304,5898991.768,Field lat/long,0,1,0,,,,,not in imagery,,
0,,NA,1514,10,476554.6,5802641.1,Intended lat/long,0,1,0,,,,39.4,Close to 1789,,
0,,NA,1518,10,435810.6433,5787382.816,Field lat/long,0,1,0,13.7,5.6,,5.6,pretty sure it is right species,,
L,,NA,1522,10,439808.6191,5787214.887,Field lat/long,0,1,0,,,,live tree on plot,right stero image black/ cant see plot,Live tree on plot,
L,,NA,1526,10,474828,5785744,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1527,10,425838.9111,5788798.643,Field lat/long,0,1,0,,,,984.8,,,
0,,NA,1529,10,427840.0171,5788714.984,Field lat/long,0,1,0,,,,521.4,,,
0,,NA,1531,10,478556.2,5802556.8,Intended lat/long,1,1,0,,,,9.5,Same as 1791,,
0,,NA,1535,10,467868,5787040,Field UTM,0,1,0,,,,37.7,,,
0,0.2,NA,1538,10,470873,5786906,Field UTM,0,1,0,,,,25.9,,,
0,,NA,1539,10,473870,5786778,Field UTM,0,1,0,,,,50.4,,,
0,,NA,1540,10,475877,5786695,Field UTM,0,1,0,,,,6.6,,,
0,,NA,1542,10,426885.7412,5789758.03,Field lat/long,0,1,0,max,max,,16.5,,,
0,,NA,1544,10,428885.5608,5789668.796,Field lat/long,0,1,0,,,,15.7,unsure of species,,
L,,NA,1552,10,430927.4045,5790580.992,Field lat/long,1,0,0,1.2,37.2,,1.2,FDI dominate,Live tree on plot,
0,,NA,1554,10,468964,5788981,Field UTM,0,1,0,,,,42.9,,,
L,,NA,1557,10,473035,5788973,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,1558,10,474041,5788991,Field UTM,0,1,0,,,,387.8,,,
0,,NA,1559,10,474962,5788727,Field UTM,0,1,0,,,,373.9,,,
0,0.6,NA,1560,10,475898,5788728,Field UTM,0,1,1,,,,6.1,,,
