Card,ID,Display Name,Quandrant,Species,x0,x10,x30,x130,Notes,x
907,9.14893E+11,Regen: NE - FDI,NE,FDI,,4,,,,
907,1.82664E+11,Regen: NW - FDI,NW,FDI,,2,,,,
907,9.84656E+11,Regen: SE - FDI,SE,FDI,,1,,,,
907,9.77432E+11,Regen: SW - FDI,SW,FDI,,1,,,,
933,9.93178E+11,Regen: NE - FDI,NE,FDI,4,,,6,,
933,2.69391E+11,Regen: NW - FDI,NW,FDI,2,,,,,
933,9.45665E+11,Regen: SE - FDI,SE,FDI,1,2,2,,,
933,9.65357E+11,Regen: SW - FDI,SW,FDI,24,,5,,,
939,2.81862E+11,Regen: NE - AT,NE,AT,,,7,1,,
939,4.05976E+11,Regen: NW - AT,NW,AT,,,10,3,,
939,4.41578E+11,Regen: SE - AT,SE,AT,,,2,,,
939,1.66531E+11,Regen: SW - AT,SW,AT,,,5,1,,
949,1.76151E+11,Regen: NE - AT,NE,AT,,,,2,,
949,3.10986E+11,Regen: NE - FDI,NE,FDI,15,8,,,,
949,3.87429E+11,Regen: NW - AT,NW,AT,,,20,9,,
949,7.8541E+11,Regen: NW - FDI,NW,FDI,2,,,,,
949,1.56337E+11,Regen: NW - PLI,NW,PLI,,1,,,,
949,5.71838E+11,Regen: SE - AT,SE,AT,,,5,,,
949,9.6091E+11,Regen: SE - FDI,SE,FDI,2,,,,,
949,2.19245E+11,Regen: SW - AT,SW,AT,,,7,8,,
974,3.18055E+11,Regen: NE - PLI,NE,PLI,,,16,,,
974,8.80083E+11,Regen: NW - PLI,NW,PLI,,2,4,,,
974,9.15421E+11,Regen: SE - PLI,SE,PLI,1,3,24,2,,
974,6.64271E+11,Regen: SW - PLI,SW,PLI,1,1,9,2,,
981,6.50688E+11,Regen: NE - FDI,NE,FDI,6,24,,,,
981,8.0761E+11,Regen: NW - FDI,NW,FDI,1,40,18,,,
981,6.58334E+11,Regen: SE - AT,SE,AT,,,1,1,,
981,5.38656E+11,Regen: SE - FDI,SE,FDI,4,33,20,,,
981,9.21271E+11,Regen: SW - AT,SW,AT,,2,2,,,
981,1.25879E+11,Regen: SW - FDI,SW,FDI,13,51,22,,,
988,2.23384E+11,Regen: NE - AT,NE,AT,,,1,,,
988,5.03971E+11,Regen: NW - AT,NW,AT,,,3,1,,
988,6.62923E+11,Regen: SE - FDI,SE,FDI,1,,,,,
988,4.55939E+11,Regen: SE - PLI,SE,PLI,,1,2,,,
988,9.59768E+11,Regen: SW - PLI,SW,PLI,,,1,,,
1012,4.88822E+11,Regen: NE - ,NE,,,,,,,
1012,1.55792E+11,Regen: NW - ,NW,,,,,,,
1012,8.12462E+11,Regen: SE - PLI,SE,PLI,,,,1,,
1012,6.3393E+11,Regen: SW - ,SW,,,,,,,
1022,4.37969E+11,Regen: NE - AT,NE,AT,,,4,,,
1022,9.26449E+11,Regen: NW - AT,NW,AT,,,9,5,,
1022,7.31178E+11,Regen: SE - AT,SE,AT,,,2,1,,
