Plot_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
2010,4,3600,0.400511205,0.477182478,0.076671273,0.442617349,0.027637542,1.770469397,0.446387857,0.469576627
1999,3,2700,0.180244237,0.246642232,0.066397995,0.213873744,0.027113704,0.641621232,0.214734763,0.240260738
2000,4,3600,0.189225361,0.236245379,0.047020018,0.209740065,0.017377854,0.83896026,0.20674476,0.229126778
2001,3,2700,0.08327058,0.146862045,0.063591465,0.123442953,0.02853621,0.370328858,0.140196234,0.145528883
2027,3,2700,0.58365649,0.667781174,0.084124684,0.639486452,0.039478962,1.918459356,0.667021692,0.667629278
1989a,4,3600,0.431983203,0.495009035,0.063025832,0.462234527,0.025931773,1.848938107,0.460972935,0.490399989
2020,3,2700,0.069722272,0.236776143,0.167053871,0.155987588,0.068309322,0.467962764,0.161464348,0.221713784
2007,3,2700,0.294536144,0.367697746,0.073161602,0.32295691,0.032019926,0.968870729,0.30663684,0.355485564
2008,3,2700,0.26188767,0.379382998,0.117495328,0.306905329,0.051748282,0.920715988,0.27944532,0.359395462
2011,4,3600,0.187974393,0.299489528,0.111515135,0.237766571,0.041190087,0.951066285,0.231801182,0.283563112
2016,3,2700,0.236502066,0.310171634,0.073669568,0.271250899,0.030219805,0.813752696,0.267078996,0.301553106
2025,3,2700,0.198426098,0.363274455,0.164848357,0.275741736,0.067685729,0.827225208,0.265524656,0.343724495
1991,3,2700,0.169199467,0.30006963,0.130870163,0.214749744,0.06037641,0.644249231,0.174980134,0.275051731
1990,3,2700,0.34597373,0.540257633,0.194283903,0.443764756,0.079321383,1.331294268,0.445062906,0.521218687
1984,2,1800,0.248041183,0.325061262,0.077020079,0.286551222,0.038510039,0.573102444,0.286551222,0.317359254
2022,3,2700,0.20665957,0.25069344,0.04403387,0.22844848,0.017979644,0.685345441,0.22799243,0.246153238
2018,2,1800,0.315271974,0.393976182,0.078704208,0.354624078,0.039352104,0.709248155,0.354624078,0.386105761
