Map Page Number,SampleSite_ID,Latitude,Longitude
19,1772,52.39014439,-124.2122953
19,1774,52.38968779,-124.1828651
19,1775,52.38945669,-124.1681503
19,1777,52.38898891,-124.1387211
19,1812,52.39818838,-124.1530516
19,1813,52.39795351,-124.138334
19,1814,52.39771677,-124.1236166
19,1815,52.39747818,-124.1088994
19,1816,52.39723771,-124.0941823
19,1844,52.40807399,-124.2115516
19,1845,52.40784653,-124.1968303
19,1847,52.40738602,-124.1673883
19,1891,52.4168112,-124.1964552
19,1895,52.415407,-124.1081125
19,1942,52.42622904,-124.2255349
19,1946,52.42461006,-124.1224453
19,1989,52.43427955,-124.166244
19,1990,52.43381129,-124.1367842
19,1991,52.43357437,-124.1220546
19,1992,52.43333558,-124.1073251
20,1852,52.40395364,-123.9613121
20,1896,52.41368394,-124.0050536
20,1898,52.41317486,-123.9756097
20,1949,52.42213873,-123.9751885
20,1994,52.43161182,-124.0042233
21,1900,52.41265832,-123.9461665
21,1950,52.42162209,-123.9457392
21,1953,52.42029785,-123.8721191
21,1954,52.41920491,-123.8132263
21,1999,52.42952992,-123.886403
21,2000,52.42926129,-123.8716763
21,2001,52.4289908,-123.8569497
22,1902,52.40968408,-123.784242
22,1903,52.40940251,-123.7695227
22,1955,52.41892701,-123.7985035
22,1956,52.41864725,-123.783781
22,1958,52.41808214,-123.7543365
22,2007,52.42704513,-123.7538692
22,2008,52.42647244,-123.7244194
22,2010,52.4258923,-123.6949703
23,1713,52.35983227,-123.5366026
23,1743,52.36910587,-123.5507946
23,1744,52.36879474,-123.5360908
23,1778,52.37806834,-123.5502856
23,1818,52.38671949,-123.5350664
23,1907,52.40495536,-123.5487572
23,1908,52.40464398,-123.5340412
23,2011,52.42380308,-123.591905
24,1657,52.33136216,-123.4646819
24,1658,52.33104011,-123.4499916
24,1672,52.34159433,-123.5229312
24,1674,52.34096314,-123.4935429
24,1675,52.34064475,-123.4788491
24,1676,52.33967843,-123.4347689
24,1716,52.358249,-123.4631019
24,1718,52.3572767,-123.4190041
24,1719,52.35694888,-123.4043052
24,1745,52.36816689,-123.5066837
24,1748,52.36688885,-123.4478722
24,1780,52.37712917,-123.5061655
24,1785,52.37520055,-123.4179313
24,1820,52.38609138,-123.5056471
24,1822,52.38513526,-123.4615199
24,1824,52.38416238,-123.4173946
24,1857,52.39441786,-123.4757041
24,1859,52.39377473,-123.4462804
24,1860,52.39312415,-123.4168577
24,1861,52.39279606,-123.4021467
24,1963,52.41266062,-123.4893722
24,1965,52.41202096,-123.4599359
24,1966,52.41137384,-123.4305005
25,1660,52.32973334,-123.3912323
25,1662,52.3290688,-123.3618541
25,1663,52.32873374,-123.3471653
25,1665,52.32703054,-123.2737248
25,1666,52.32668432,-123.2590374
25,1678,52.33803068,-123.3613063
25,1679,52.33599201,-123.2731588
25,1697,52.34765731,-123.3901488
25,1698,52.34732584,-123.3754534
25,1701,52.34564056,-123.3019802
25,1702,52.34460706,-123.257899
25,1720,52.3566192,-123.3896066
25,1722,52.35528187,-123.3308145
25,1723,52.35460204,-123.3014198
25,1724,52.35425933,-123.2867228
25,1725,52.35391477,-123.272026
25,1751,52.36558103,-123.3890643
25,1752,52.36524942,-123.3743629
25,1753,52.36491595,-123.3596617
25,1754,52.36458062,-123.3449607
25,1757,52.36322069,-123.2861591
25,1759,52.36252955,-123.2567597
25,1789,52.37354218,-123.344409
25,1791,52.3728658,-123.3150016
25,1825,52.38350448,-123.3879789
25,1826,52.38317274,-123.3732714
25,1827,52.38250367,-123.343857
25,1863,52.39213431,-123.3727253
25,1864,52.39180064,-123.3580149
25,1865,52.39146511,-123.3433048
25,1866,52.39112771,-123.3285949
25,1867,52.39078845,-123.3138852
25,1869,52.38975951,-123.2697576
25,1870,52.3894128,-123.2550489
25,1916,52.40142769,-123.3868926
25,1917,52.40109581,-123.372179
25,1918,52.40042647,-123.3427524
25,1919,52.39974969,-123.3133267
25,1922,52.39872054,-123.26919
25,1968,52.40972345,-123.356916
25,1969,52.40938778,-123.3421997
25,1970,52.40905025,-123.3274837
25,1971,52.40871086,-123.312768
25,1972,52.4083696,-123.2980524
25,1973,52.40802648,-123.2833371
25,1975,52.40733465,-123.2539072
25,2016,52.41901863,-123.3710857
25,2018,52.41834902,-123.3416469
25,2020,52.41733064,-123.2974904
25,2022,52.4166424,-123.2680539
25,2023,52.41629548,-123.253336
26,1667,52.32563451,-123.2149766
26,1669,52.32456796,-123.170918
26,1670,52.32384764,-123.1415468
26,1671,52.32348469,-123.1268616
26,1682,52.33494757,-123.2290882
26,1683,52.3345957,-123.2143984
26,1685,52.33388639,-123.1850197
26,1686,52.33352894,-123.1703307
26,1687,52.33316964,-123.1556419
26,1688,52.33280847,-123.1409534
26,1705,52.34320303,-123.1991274
26,1706,52.34284738,-123.1844352
26,1707,52.34248986,-123.1697431
26,1708,52.34213048,-123.1550513
26,1730,52.35072995,-123.1397658
26,1731,52.35036678,-123.1250715
26,1760,52.3614789,-123.2126624
26,1761,52.36005198,-123.1538693
26,1792,52.37043984,-123.2120832
26,1793,52.37008583,-123.1973815
26,1794,52.36972995,-123.1826801
26,1795,52.36937222,-123.1679789
26,1796,52.36901263,-123.153278
26,1798,52.36828786,-123.1238768
26,1831,52.37904663,-123.1967991
26,1833,52.37833288,-123.1673904
26,1873,52.38765135,-123.1815089
26,1876,52.38620867,-123.1226812
26,1924,52.39802512,-123.2397666
