SampleSite_ID,Latitude,Longitude,MapPageID,Aspect,Elevation,Slope,TWI,Zone,Subzone,Variant,Solar_Radiation,PARENT_SOILS,SOILNAME_1,TEXTURE_1,PERCENT_1,DRAIN_1,COFRAG_1,SOILNAME_2,TEXTURE_2,PERCENT_2,DRAIN_2,COFRAG_2,SOILNAME_3,TEXTURE_3,PERCENT_3,DRAIN_3,COFRAG_3,Fire_Year_1,Fire_Number_1,Fire_Date_1,Fire_Severity_1,Severity_Patch_Size_1,Species_1,Age_1,Height_1,Crown_Closure_1,Disturbance_Type_1,Disturbance_Date_1,Harvest_Date_1,Fire_Year_2,Fire_Number_2,Fire_Date_2,Fire_Severity_2,Severity_Patch_Size_2,Species_2,Age_2,Height_2,Crown_Closure_2,Disturbance_Type_2,Disturbance_Date_2,Harvest_Date_2,Distance_to_Perimeter
882,51.95384162,-123.880327,60,63.43494797,1107,1.118034005,8.405621529,SBPS,xc,,1025120.994,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,72,13.6,80,,,,,,,,,,,,,,,,3706.598971
883,51.95357213,-123.8657611,60,108.4349518,1092,3.952847004,15.54834843,SBPS,xc,,1031098.462,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,72,13.6,80,,,,,,,,,,,,,,,,3894.462393
884,51.95330079,-123.8511954,60,190.1755066,1091,9.905806541,7.610366821,SBPS,xc,,1077382.112,TILL ,TYEE,SL,100,MW,20,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,72,13.6,70,,,,,,,,,,,,,,,,4271.04498
885,51.95302761,-123.8366298,60,236.3099365,1105,3.605551243,11.10591984,SBPS,xc,,1039150.706,TILL ,TYEE,SL,100,MW,20,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,110,14.5,50,U,1985-01-01,,,,,,,,,,,,,,4778.081688
886,51.95275258,-123.8220645,61,106.6992416,1083,10.44030666,6.171519279,IDF,dk,4,1037261.262,TILL ,HAWKS,SIL,70,R,25,SHEMWELL,SL,30,W,28,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,80,12.4,30,,,,,,,,,,,,,,,,5423.864307
887,51.95247571,-123.8074993,61,151.6992493,973,7.38241148,6.518093109,IDF,dk,4,1041556.106,GLACIOFLUVIAL ,HAWKS,SIL,70,R,25,SHEMWELL,SL,30,W,28,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,134,17.3,40,IBM,1985-01-01,,,,,,,,,,,,,,6164.944721
888,51.95219699,-123.7929343,61,323.8579712,903,27.55222321,8.914682388,IDF,dk,4,822729.9313,GLACIOFLUVIAL ,SHEMWELL,SL,60,W,28,HAWKS,SIL,40,R,25,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,SE,180,22.4,40,,,,,,,,,,,,,,,,6192.621992
889,51.95191643,-123.7783695,61,312.0891724,982,20.88659859,7.08752346,IDF,dk,4,906944.9809,GLACIOFLUVIAL ,SHEMWELL,SL,60,W,28,HAWKS,SIL,40,R,25,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,139,14,30,IBM,1985-01-01,,,,,,,,,,,,,,5423.233403
890,51.95163402,-123.7638049,61,354.8055725,1110,2.761340141,11.69113159,SBPS,xc,,1011928.99,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,79,6.6,60,,,,,,,,,,,,,,,,4735.825167
891,51.95134977,-123.7492405,61,306.8699036,1115,2.5,7.600902557,SBPS,xc,,1020076.148,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,79,10.1,70,,,,,,,,,,,,,,,,4173.936201
892,51.95106367,-123.7346762,61,63.43494797,1121,1.118034005,9.791915894,SBPS,xc,,1027020.926,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,99,11.6,70,IBM,1985-01-01,,,,,,,,,,,,,,3796.767942
893,51.95077573,-123.7201122,61,315,1119,1.060660124,8.458301544,SBPS,xc,,1025347.556,TILL ,SHEMWELL,SL,100,W,28,,-,,,,,-,,,,2009,C50418,2009-07-30,Unknown,67735.53928,PL,79,10.1,70,,,,,,,,,,,,,,,,3661.850653
