"","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","LeadingSpecies","Dominant","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent"
"370","979","IDF","dk",4,"FDI",80,"PLI",17,"SX",2,"AT",1,17,80,2,1," PLI FDI SX AT",2024,"FDI","FDI",80,"PLI",17,"SX",2,"AT",1,"AT, FDI",0,99,0,1," FDI AT","FDI","FDI",99,"AT",1,NA,NA,NA,NA
"371","1015","IDF","dk",4,"FDI",78,"PLI",18,"AT",4,"",NA,18,78,0,4," PLI FDI AT",2024,"Mix","FDI",78,"PLI",18,"AT",4,NA,NA,"AT, FDI, PLI",3,90,0,8," PLI FDI AT","FDI","FDI",90,"AT",8,"PLI",3,NA,NA
"372","1166","IDF","xm",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",5,2,0,93," PLI FDI AT","AT","AT",93,"PLI",5,"FDI",2,NA,NA
"373","1167","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",6,88,0,7," PLI FDI AT","FDI","FDI",88,"AT",7,"PLI",6,NA,NA
"374","1245","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI",0,31,0,69," FDI AT","AT","Mix",69,"FDI",31,NA,NA,NA,NA
"375","1360","IDF","xm",NA,"FDI",80,"PLI",20,"",NA,"",NA,20,80,0,0," PLI FDI",2024,"FDI","FDI",80,"PLI",20,NA,NA,NA,NA,"AT, AT, FDI",0,11,0,89," FDI AT","AT","AT",89,"FDI",11,NA,NA,NA,NA
"376","1065","IDF","dk",4,"FDI",93,"PLI",7,"",NA,"",NA,7,93,0,0," PLI FDI",2024,"FDI","FDI",93,"PLI",7,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"377","1094","SBPS","xc",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"378","1096","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"379","1097","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2024,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"380","1098","IDF","xm",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA
"381","1329","IDF","dk",4,"PLI",90,"AT",10,"",NA,"",NA,90,0,0,10," PLI AT",2024,"PLI","PLI",90,"AT",10,NA,NA,NA,NA,"AT, FDI, PLI",63,5,0,32," PLI FDI AT","PLI","Mix",63,"AT",32,"FDI",5,NA,NA
"382","1330","IDF","dk",4,"PLI",90,"AT",10,"",NA,"",NA,90,0,0,10," PLI AT",2024,"PLI","PLI",90,"AT",10,NA,NA,NA,NA,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA
"383","1331","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",15,78,0,7," PLI FDI AT","FDI","Mix",78,"PLI",15,"AT",7,NA,NA
"384","1362","IDF","dk",4,"PLI",60,"FDI",20,"AT",20,"",NA,60,20,0,20," PLI FDI AT",2024,"Mix","PLI",60,"FDI",20,"AT",20,NA,NA,"NR",0,0,0,0,"NR",NA,"NR",NA,NA,NA,NA,NA,NA,NA
"385","445","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"386","446","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"387","447","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"388","1165","IDF","xm",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"389","1205","IDF","xm",NA,"FDI",70,"PLI",30,"",NA,"",NA,30,70,0,0," PLI FDI",2024,"Mix","FDI",70,"PLI",30,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"390","1332","IDF","xm",NA,"FDI",80,"PLI",10,"AT",10,"",NA,10,80,0,10," PLI FDI AT",2024,"FDI","FDI",80,"PLI",10,"AT",10,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA
"391","250","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"392","251","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"393","252","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
