"","Card","SpeciesAll","total_count","total_tph","total_x0","total_x10","total_x30","total_x130","FDI_count","FDI_tph","FDI_x0","FDI_x10","FDI_x30","FDI_x130","PLI_count","PLI_tph","PLI_x0","PLI_x10","PLI_x30","PLI_x130","NonCon_count","NonCon_x0","NonCon_x10","NonCon_x30","NonCon_x130","SX_count","SX_x0","SX_x10","SX_x30","SX_x130"
"113",892,"PLI",27,5400,0,0,13,14,0,0,0,0,0,0,27,5400,0,0,13,14,0,0,0,0,0,0,0,0,0,0
"114",893,"PLI",70,14000,0,5,36,29,0,0,0,0,0,0,70,14000,0,5,36,29,0,0,0,0,0,0,0,0,0,0
"115",894,"PLI",60,12000,0,6,38,16,0,0,0,0,0,0,60,12000,0,6,38,16,0,0,0,0,0,0,0,0,0,0
"116",895,"FDI, PLI",206,41200,70,96,40,0,105,21000,68,37,0,0,101,20200,2,59,40,0,0,0,0,0,0,0,0,0,0,0
"117",899,"PLI",219,43800,24,48,124,23,0,0,0,0,0,0,219,43800,24,48,124,23,0,0,0,0,0,0,0,0,0,0
"118",900,"FDI, NonCon, PLI, SX",95,19000,29,3,63,0,14,2800,13,1,0,0,14,2800,13,1,0,0,63,0,0,63,0,4,3,1,0,0
"119",903,"FDI, NonCon, PLI",148,29600,73,71,3,1,144,28800,73,70,1,0,1,200,0,0,1,0,3,0,1,1,1,0,0,0,0,0
"120",907,"FDI",8,1600,0,8,0,0,8,1600,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",933,"FDI",46,9200,31,2,7,6,46,9200,31,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",939,"NonCon",29,5800,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,24,5,0,0,0,0,0
"123",949,"FDI, NonCon, PLI",79,15800,19,9,32,19,27,5400,19,8,0,0,1,200,0,1,0,0,51,0,0,32,19,0,0,0,0,0
"124",974,"PLI",65,13000,2,6,53,4,0,0,0,0,0,0,65,13000,2,6,53,4,0,0,0,0,0,0,0,0,0,0
"125",981,"FDI, NonCon",238,47600,24,150,63,1,232,46400,24,148,60,0,0,0,0,0,0,0,6,0,2,3,1,0,0,0,0,0
"126",988,"FDI, NonCon, PLI",10,2000,1,1,7,1,1,200,1,0,0,0,4,800,0,1,3,0,5,0,0,4,1,0,0,0,0,0
"127",1012,"PLI",1,200,0,0,0,1,0,0,0,0,0,0,1,200,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"128",1022,"NonCon",38,7600,0,0,25,13,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,25,13,0,0,0,0,0
"129",1024,"FDI",5,1000,3,2,0,0,5,1000,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",1045,"FDI",639,127800,463,175,1,0,639,127800,463,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",1049,"FDI, NonCon, PLI",64,12800,2,9,32,21,9,1800,2,7,0,0,13,2600,0,2,10,1,42,0,0,22,20,0,0,0,0,0
"132",1050,"NonCon, PLI",104,20800,0,3,73,28,0,0,0,0,0,0,46,9200,0,3,43,0,58,0,0,30,28,0,0,0,0,0
"133",1052,"NonCon, PLI, SX",123,24600,4,55,63,1,0,0,0,0,0,0,116,23200,3,54,59,0,5,0,0,4,1,2,1,1,0,0
"134",1053,"FDI, NonCon, PLI",211,42200,117,87,5,2,198,39600,115,82,1,0,10,2000,2,5,2,1,3,0,0,2,1,0,0,0,0,0
"135",1068,"FDI, PLI",4,800,0,2,2,0,1,200,0,1,0,0,3,600,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"136",1069,"NonCon, PLI",24,4800,3,3,14,4,0,0,0,0,0,0,7,1400,0,1,4,2,17,3,2,10,2,0,0,0,0,0
"137",1075,"FDI",4,800,2,2,0,0,4,800,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",1080,"NonCon, SX",169,33800,0,1,39,129,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,39,129,1,0,1,0,0
"139",1099,"FDI, NonCon",240,48000,168,56,16,0,239,47800,168,56,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"140",1108,"FDI",543,108600,539,4,0,0,543,108600,539,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",1109,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",1110,"FDI",230,46000,87,142,1,0,230,46000,87,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",1111,"FDI, PLI",87,17400,59,4,24,0,60,12000,59,0,1,0,27,5400,0,4,23,0,0,0,0,0,0,0,0,0,0,0
"144",1113,"NonCon, PLI",19,3800,0,1,17,1,0,0,0,0,0,0,15,3000,0,1,14,0,4,0,0,3,1,0,0,0,0,0
"145",1114,"NonCon, PLI",55,11000,0,0,55,0,0,0,0,0,0,0,1,200,0,0,1,0,54,0,0,54,0,0,0,0,0,0
"146",1115,"PLI",26,5200,0,12,14,0,0,0,0,0,0,0,26,5200,0,12,14,0,0,0,0,0,0,0,0,0,0,0
