"","X","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","Dominant","LeadingSpecies","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent","Trans"
"150",150,"1272","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"151",151,"1273","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"152",152,"1276","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"153",153,"1294","IDF","dk",4,"FDI",69,"PLI",25,"SX",6,"",NA,25,69,6,0," PLI FDI SX",2023,"Mix","FDI",69,"PLI",25,"SX",6,NA,NA,"AT, FDI, SX",0,75,2,23," FDI SX AT","Mix","FDI",75,"AT",23,"SX",2,NA,NA,"static"
"154",154,"1295","IDF","dk",4,"FDI",58,"PLI",32,"SX",6,"AT",4,32,58,6,4," PLI FDI SX AT",2023,"Mix","FDI",58,"PLI",32,"SX",6,"AT",4,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"155",155,"1298","IDF","dk",4,"FDI",67,"PLI",30,"AT",2,"SX",1,30,67,1,2," PLI FDI SX AT",2023,"Mix","FDI",67,"PLI",30,"AT",2,"SX",1,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"156",156,"1299","IDF","dk",4,"FDI",68,"PLI",23,"SX",6,"AT",3,23,68,6,3," PLI FDI SX AT",2023,"Mix","FDI",68,"PLI",23,"SX",6,"AT",3,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"157",157,"1319","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"158",158,"1320","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"159",159,"1321","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",98,2,0,0," PLI FDI","PLI","PLI",98,"FDI",2,NA,NA,NA,NA,"static"
"160",160,"1322","SBPS","xc",NA,"PLI",86.80000305,"FDI",13.19999981,"",NA,"",NA,86.80000305,13.19999981,0,0," PLI FDI",2023,"PLI","PLI",86.80000305,"FDI",13.19999981,NA,NA,NA,NA,"FDI, PLI",31,69,0,0," PLI FDI","Mix","FDI",69,"PLI",31,NA,NA,NA,NA,"shift"
"161",161,"1333","IDF","xm",NA,"FDI",90,"PLI",10,"",NA,"",NA,10,90,0,0," PLI FDI",2023,"FDI","FDI",90,"PLI",10,NA,NA,NA,NA,"AT, FDI, SX",0,73,7,20," FDI SX AT","Mix","FDI",73,"AT",20,"SX",7,NA,NA,"shift"
"162",162,"1335","IDF","dk",4,"PLI",52,"FDI",42,"SX",6,"",NA,52,42,6,0," PLI FDI SX",2023,"Mix","PLI",52,"FDI",42,"SX",6,NA,NA,"AT, FDI, PLI, SX",7,14,16,64," PLI FDI SX AT","Mix","AT",64,"SX",16,"FDI",14,"PLI",7,"static"
"163",163,"1340","IDF","dk",4,"PLI",43,"AT",31,"SX",17,"FDI",9,43,9,17,31," PLI FDI SX AT",2023,"Mix","PLI",43,"AT",31,"SX",17,"FDI",9,"AT, PLI",87,0,0,13," PLI AT","PLI","PLI",87,"AT",13,NA,NA,NA,NA,"shift"
"164",164,"1341","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",91,0,0,9," PLI AT","PLI","PLI",91,"AT",9,NA,NA,NA,NA,"static"
"165",165,"1356","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"166",166,"1362","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"NR",0,0,0,0,"NR","NR","NR",NA,NA,NA,NA,NA,NA,NA,"shift"
"167",167,"1364","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"168",168,"1367","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",25,58,0,17," PLI FDI AT","Mix","FDI",58,"PLI",25,"AT",17,NA,NA,"shift"
"169",169,"1398","IDF","dk",4,"PLI",37,"SX",25,"FDI",19,"AT",19,37,19,25,19," PLI FDI SX AT",2023,"Mix","PLI",37,"SX",25,"FDI",19,"AT",19,"FDI, PLI, SX",79,21,0,0," PLI FDI","Mix","PLI",79,"FDI",21,NA,NA,NA,NA,"static"
"170",170,"1400","IDF","dk",4,"PLI",98,"FDI",2,"",NA,"",NA,98,2,0,0," PLI FDI",2023,"PLI","PLI",98,"FDI",2,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"171",171,"1413","IDF","dk",4,"SX",40,"FDI",30,"AT",18,"PLI",12,12,30,40,18," PLI FDI SX AT",2023,"Mix","SX",40,"FDI",30,"AT",18,"PLI",12,"AT, AT, PLI, SX",5,0,57,39," PLI SX AT","Mix","SX",57,"AT",39,"PLI",5,NA,NA,"static"
"172",172,"1421","IDF","dk",4,"PLI",70,"FDI",30,"",NA,"",NA,70,30,0,0," PLI FDI",2023,"Mix","PLI",70,"FDI",30,NA,NA,NA,NA,"AT, PLI",88,0,0,12," PLI AT","PLI","PLI",88,"AT",12,NA,NA,NA,NA,"shift"
"173",173,"1425","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI, SX",25,1,1,73," PLI FDI SX AT","Mix","AT",73,"PLI",25,"FDI",1,"SX",1,"shift"
"174",174,"1430","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"175",175,"1438","IDF","dk",4,"PLI",80,"FDI",10,"SX",5,"AT",5,80,10,5,5," PLI FDI SX AT",2023,"PLI","PLI",80,"FDI",10,"AT",5,"SX",5,"AT, FDI, PLI",72,26,0,2," PLI FDI AT","Mix","PLI",72,"FDI",26,"AT",2,NA,NA,"shift"
"176",176,"1440","IDF","dk",4,"FDI",60,"PLI",35,"AT",5,"",NA,35,60,0,5," PLI FDI AT",2023,"Mix","FDI",60,"PLI",35,"AT",5,NA,NA,"AT, PLI",7,0,0,93," PLI AT","AT","AT",93,"PLI",7,NA,NA,NA,NA,"shift"
"177",177,"1450","IDF","dk",4,"PLI",80,"FDI",15,"AT",5,"",NA,80,15,0,5," PLI FDI AT",2023,"PLI","PLI",80,"FDI",15,"AT",5,NA,NA,"AT, PLI",15,0,0,85," PLI AT","AT","AT",85,"PLI",15,NA,NA,NA,NA,"shift"
"178",178,"1476","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",98,0,0,2," PLI AT","PLI","PLI",98,"AT",2,NA,NA,NA,NA,"static"
"179",179,"1478","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",16,3,0,81," PLI FDI AT","AT","AT",81,"PLI",16,"FDI",3,NA,NA,"shift"
"180",180,"1479","SBPS","xc",NA,"PLI",90,"FDI",10,"",NA,"",NA,90,10,0,0," PLI FDI",2023,"PLI","PLI",90,"FDI",10,NA,NA,NA,NA,"NR",0,0,0,0,"NR","NR","NR",NA,NA,NA,NA,NA,NA,NA,"shift"
"181",181,"1481","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"182",182,"1484","SBPS","xc",NA,"PLI",80,"AT",11,"FDI",5,"SX",4,80,5,4,11," PLI FDI SX AT",2023,"PLI","PLI",80,"AT",11,"FDI",5,"SX",4,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA,"shift"
"183",183,"1485","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",98,0,0,2," PLI AT","PLI","PLI",98,"AT",2,NA,NA,NA,NA,"shift"
"184",184,"1498","IDF","dk",4,"FDI",80,"PLI",20,"",NA,"",NA,20,80,0,0," PLI FDI",2023,"FDI","FDI",80,"PLI",20,NA,NA,NA,NA,"AT, PLI",54,0,0,46," PLI AT","Mix","PLI",54,"AT",46,NA,NA,NA,NA,"shift"
"185",185,"1500","SBPS","dc",NA,"PLI",90,"AT",10,"",NA,"",NA,90,0,0,10," PLI AT",2023,"PLI","PLI",90,"AT",10,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"186",186,"1501","SBPS","dc",NA,"PLI",80,"AT",20,"",NA,"",NA,80,0,0,20," PLI AT",2023,"PLI","PLI",80,"AT",20,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"187",187,"1502","SBPS","xc",NA,"PLI",97,"SX",3,"",NA,"",NA,97,0,3,0," PLI SX",2023,"PLI","PLI",97,"SX",3,NA,NA,NA,NA,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA,"shift"
"188",188,"1503","SBPS","xc",NA,"PLI",97,"AT",2,"SX",1,"",NA,97,0,1,2," PLI SX AT",2023,"PLI","PLI",97,"AT",2,"SX",1,NA,NA,"AT, PLI",4,0,0,96," PLI AT","AT","AT",96,"PLI",4,NA,NA,NA,NA,"shift"
"189",189,"1504","SBPS","xc",NA,"PLI",96,"SX",3,"AT",1,"",NA,96,0,3,1," PLI SX AT",2023,"PLI","PLI",96,"SX",3,"AT",1,NA,NA,"FDI, PLI",89,11,0,0," PLI FDI","PLI","PLI",89,"FDI",11,NA,NA,NA,NA,"static"
"190",190,"1505","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"191",191,"1507","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",31,6,0,63," PLI FDI AT","Mix","AT",63,"PLI",31,"FDI",6,NA,NA,"shift"
"192",192,"1508","SBPS","xc",NA,"PLI",90,"AT",10,"",NA,"",NA,90,0,0,10," PLI AT",2023,"PLI","PLI",90,"AT",10,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"193",193,"1518","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"194",194,"1522","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"195",195,"1527","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"196",196,"1529","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"197",197,"1531","SBPS","dc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",9,3,0,89," PLI FDI AT","AT","AT",89,"PLI",9,"FDI",3,NA,NA,"shift"
"198",198,"1535","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",95,0,0,5," PLI AT","PLI","PLI",95,"AT",5,NA,NA,NA,NA,"shift"
"199",199,"1538","IDF","dk",4,"PLI",90,"SX",10,"",NA,"",NA,90,0,10,0," PLI SX",2023,"PLI","PLI",90,"SX",10,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"200",200,"1539","SBPS","xc",NA,"PLI",90,"SX",5,"AT",5,"",NA,90,0,5,5," PLI SX AT",2023,"PLI","PLI",90,"AT",5,"SX",5,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"201",201,"1540","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"202",202,"1542","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"203",203,"1544","IDF","dk",4,"FDI",60,"AT",20,"PLI",20,"",NA,20,60,0,20," PLI FDI AT",2023,"Mix","FDI",60,"PLI",20,"AT",20,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"shift"
"204",204,"1552","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"205",205,"1554","IDF","dk",4,"PLI",95,"FDI",5,"",NA,"",NA,95,5,0,0," PLI FDI",2023,"PLI","PLI",95,"FDI",5,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"206",206,"1557","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"207",207,"1558","SBPS","xc",NA,"PLI",80,"FDI",20,"",NA,"",NA,80,20,0,0," PLI FDI",2023,"PLI","PLI",80,"FDI",20,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"208",208,"1559","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"209",209,"1562","IDF","dk",4,"FDI",60,"PLI",40,"",NA,"",NA,40,60,0,0," PLI FDI",2023,"Mix","FDI",60,"PLI",40,NA,NA,NA,NA,"AT, FDI, PLI",20,60,0,20," PLI FDI AT","Mix","FDI",60,"PLI",20,"AT",20,NA,NA,"static"
"210",210,"1564","SBPS","xc",NA,"PLI",89,"SX",9,"FDI",1,"AT",1,89,1,9,1," PLI FDI SX AT",2023,"PLI","PLI",89,"SX",9,"FDI",1,"AT",1,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"211",211,"1567","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"212",212,"1569","SBPS","xc",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"shift"
"213",213,"1571","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"214",214,"1577","SBPS","xc",NA,"PLI",75,"SX",15,"AT",10,"",NA,75,0,15,10," PLI SX AT",2023,"Mix","PLI",75,"SX",15,"AT",10,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"shift"
"215",215,"1578","SBPS","xc",NA,"PLI",90,"AT",5,"SX",5,"",NA,90,0,5,5," PLI SX AT",2023,"PLI","PLI",90,"AT",5,"SX",5,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"216",216,"1579","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",99,0,0,1," PLI AT","PLI","PLI",99,"AT",1,NA,NA,NA,NA,"static"
"217",217,"1580","SBPS","xc",NA,"PLI",85,"AT",10,"SX",5,"",NA,85,0,5,10," PLI SX AT",2023,"PLI","PLI",85,"AT",10,"SX",5,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"218",218,"1581","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"219",219,"1584","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"220",220,"1587","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",78,0,0,22," PLI AT","Mix","PLI",78,"AT",22,NA,NA,NA,NA,"shift"
"221",221,"1589","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"222",222,"1590","SBPS","xc",NA,"PLI",67,"SX",32,"AT",1,"",NA,67,0,32,1," PLI SX AT",2023,"Mix","PLI",67,"SX",32,"AT",1,NA,NA,"AT, PLI, SX",2,0,51,47," PLI SX AT","Mix","SX",51,"AT",47,"PLI",2,NA,NA,"static"
"223",223,"1591","SBPS","xc",NA,"SX",100,"",NA,"",NA,"",NA,0,0,100,0," SX",2023,"SX","SX",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"shift"
"224",224,"1596","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",93,7,0,0," PLI FDI","PLI","PLI",93,"FDI",7,NA,NA,NA,NA,"static"
"225",225,"1601","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"226",226,"1602","SBPS","xc",NA,"SX",30,"PLI",28,"FDI",25,"AT",17,28,25,30,17," PLI FDI SX AT",2023,"Mix","SX",30,"PLI",28,"FDI",25,"AT",17,"AT, PLI",90,0,0,10," PLI AT","PLI","PLI",90,"AT",10,NA,NA,NA,NA,"shift"
"227",227,"1604","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"228",228,"1606","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"229",229,"1608","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"230",230,"1612","SBPS","xc",NA,"PLI",45,"SX",32,"FDI",18,"AT",5,45,18,32,5," PLI FDI SX AT",2023,"Mix","PLI",45,"SX",32,"FDI",18,"AT",5,"AT, PLI",95,0,0,5," PLI AT","PLI","PLI",95,"AT",5,NA,NA,NA,NA,"shift"
"231",231,"1615","SBPS","xc",NA,"PLI",74,"AT",15,"SX",7,"FDI",4,74,4,7,15," PLI FDI SX AT",2023,"Mix","PLI",74,"AT",15,"SX",7,"FDI",4,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"shift"
"232",232,"1619","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"233",233,"1620","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"234",234,"1625","SBPS","xc",NA,"SX",98,"AT",2,"",NA,"",NA,0,0,98,2," SX AT",2023,"SX","SX",98,"AT",2,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"shift"
"235",235,"1627","SBPS","xc",NA,"PLI",73,"SX",19,"FDI",5,"AT",3,73,5,19,3," PLI FDI SX AT",2023,"Mix","PLI",73,"SX",19,"FDI",5,"AT",3,"AT, PLI, SX",34,0,28,38," PLI SX AT","Mix","AT",38,"PLI",34,"SX",28,NA,NA,"static"
"236",236,"1630","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"237",237,"1631","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",48,0,0,52," PLI AT","Mix","AT",52,"PLI",48,NA,NA,NA,NA,"shift"
"238",238,"1634","SBPS","xc",NA,"PLI",99,"SX",1,"",NA,"",NA,99,0,1,0," PLI SX",2023,"PLI","PLI",99,"SX",1,NA,NA,NA,NA,"AT, PLI",98,0,0,2," PLI AT","PLI","PLI",98,"AT",2,NA,NA,NA,NA,"static"
"239",239,"1635","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"240",240,"1637","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",44,0,0,56," PLI AT","Mix","AT",56,"PLI",44,NA,NA,NA,NA,"shift"
"241",241,"1640","SBPS","xc",NA,"PLI",95,"SX",3,"AT",2,"",NA,95,0,3,2," PLI SX AT",2023,"PLI","PLI",95,"SX",3,"AT",2,NA,NA,"AT",0,0,0,100," AT","AT","AT",100,NA,NA,NA,NA,NA,NA,"shift"
"242",242,"1644","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"243",243,"1645","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"244",244,"1647","SBPS","xc",NA,"PLI",98,"AT",1,"SX",1,"",NA,98,0,1,1," PLI SX AT",2023,"PLI","PLI",98,"AT",1,"SX",1,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"245",245,"1648","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
