"","X","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","Dominant","LeadingSpecies","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent","Trans"
"113",113,"1069","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, PLI",29,0,0,71," PLI AT","Mix","AT",71,"PLI",29,NA,NA,NA,NA,"shift"
"114",114,"1075","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"115",115,"1080","IDF","dk",4,"PLI",48,"FDI",36,"SX",12,"AT",4,48,36,12,4," PLI FDI SX AT",2023,"Mix","PLI",48,"FDI",36,"SX",12,"AT",4,"AT, SX",0,0,1,99," SX AT","AT","AT",99,"SX",1,NA,NA,NA,NA,"shift"
"116",116,"1099","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"117",117,"1109","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"NR",0,0,0,0,"NR","NR","NR",NA,NA,NA,NA,NA,NA,NA,"shift"
"118",118,"1110","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"119",119,"1113","IDF","dk",4,"PLI",52,"AT",37,"FDI",8,"SX",3,52,8,3,37," PLI FDI SX AT",2023,"Mix","PLI",52,"AT",37,"FDI",8,"SX",3,"AT, PLI",79,0,0,21," PLI AT","Mix","PLI",79,"AT",21,NA,NA,NA,NA,"static"
"120",120,"1114","IDF","dk",4,"PLI",90,"FDI",10,"",NA,"",NA,90,10,0,0," PLI FDI",2023,"PLI","PLI",90,"FDI",10,NA,NA,NA,NA,"AT, PLI",2,0,0,98," PLI AT","AT","AT",98,"PLI",2,NA,NA,NA,NA,"shift"
"121",121,"1115","IDF","dk",4,"PLI",93,"SX",6,"AT",1,"",NA,93,0,6,1," PLI SX AT",2023,"PLI","PLI",93,"SX",6,"AT",1,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"122",122,"1139","IDF","dk",4,"FDI",64,"PLI",36,"",NA,"",NA,36,64,0,0," PLI FDI",2023,"Mix","FDI",64,"PLI",36,NA,NA,NA,NA,"AT, FDI, PLI",1,98,0,1," PLI FDI AT","FDI","FDI",98,"PLI",1,"AT",1,NA,NA,"shift"
"123",123,"1142","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"124",124,"1144","IDF","dk",4,"FDI",57,"AT",26,"PLI",15,"SX",2,15,57,2,26," PLI FDI SX AT",2023,"Mix","FDI",57,"AT",26,"PLI",15,"SX",2,"FDI, PLI",98,2,0,0," PLI FDI","PLI","PLI",98,"FDI",2,NA,NA,NA,NA,"shift"
"125",125,"1145","IDF","dk",4,"PLI",92,"FDI",7,"SX",1,"",NA,92,7,1,0," PLI FDI SX",2023,"PLI","PLI",92,"FDI",7,"SX",1,NA,NA,"AT, PLI",50,0,0,50," PLI AT","Mix","PLI",50,"AT",50,NA,NA,NA,NA,"shift"
"126",126,"1148","IDF","dk",4,"PLI",86,"AT",7,"FDI",6,"SX",1,86,6,1,7," PLI FDI SX AT",2023,"PLI","PLI",86,"AT",7,"FDI",6,"SX",1,"AT, PLI",59,0,0,41," PLI AT","Mix","PLI",59,"AT",41,NA,NA,NA,NA,"shift"
"127",127,"1153","SBPS","xc",NA,"PLI",96,"SX",4,"",NA,"",NA,96,0,4,0," PLI SX",2023,"PLI","PLI",96,"SX",4,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"128",128,"1160","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"129",129,"1180","IDF","dk",4,"PLI",52,"FDI",39,"AT",5,"SX",4,52,39,4,5," PLI FDI SX AT",2023,"Mix","PLI",52,"FDI",39,"AT",5,"SX",4,"AT, FDI, PLI",13,53,0,34," PLI FDI AT","Mix","FDI",53,"AT",34,"PLI",13,NA,NA,"static"
"130",130,"1182","IDF","dk",4,"PLI",73,"FDI",24,"SX",3,"",NA,73,24,3,0," PLI FDI SX",2023,"Mix","PLI",73,"FDI",24,"SX",3,NA,NA,"AT, FDI, PLI",55,12,0,34," PLI FDI AT","Mix","PLI",55,"AT",34,"FDI",12,NA,NA,"static"
"131",131,"1185","IDF","dk",4,"PLI",50.09999847,"FDI",49.90000153,"",NA,"",NA,50.09999847,49.90000153,0,0," PLI FDI",2023,"Mix","PLI",50.09999847,"FDI",49.90000153,NA,NA,NA,NA,"AT, PLI",89,0,0,11," PLI AT","PLI","PLI",89,"AT",11,NA,NA,NA,NA,"shift"
"132",132,"1186","IDF","dk",4,"PLI",98,"FDI",2,"",NA,"",NA,98,2,0,0," PLI FDI",2023,"PLI","PLI",98,"FDI",2,NA,NA,NA,NA,"AT, PLI",2,0,0,98," PLI AT","AT","AT",98,"PLI",2,NA,NA,NA,NA,"shift"
"133",133,"1192","SBPS","xc",NA,"PLI",76,"SX",15,"FDI",9,"",NA,76,9,15,0," PLI FDI SX",2023,"Mix","PLI",76,"SX",15,"FDI",9,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"shift"
"134",134,"1200","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"static"
"135",135,"1207","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",5,12,0,83," PLI FDI AT","AT","AT",83,"FDI",12,"PLI",5,NA,NA,"shift"
"136",136,"1214","IDF","dk",4,"FDI",50,"PLI",33,"AT",17,"",NA,33,50,0,17," PLI FDI AT",2023,"Mix","FDI",50,"PLI",33,"AT",17,NA,NA,"AT, FDI, PLI",2,96,0,2," PLI FDI AT","FDI","FDI",96,"PLI",2,"AT",2,NA,NA,"shift"
"137",137,"1219","IDF","xm",NA,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"AT, FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"138",138,"1220","IDF","dk",4,"FDI",45,"PLI",35,"SX",16,"AT",4,35,45,16,4," PLI FDI SX AT",2023,"Mix","FDI",45,"PLI",35,"SX",16,"AT",4,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"139",139,"1221","IDF","dk",4,"PLI",60,"FDI",35,"SX",3,"AT",2,60,35,3,2," PLI FDI SX AT",2023,"Mix","PLI",60,"FDI",35,"SX",3,"AT",2,"AT, FDI, PLI",21,1,0,78," PLI FDI AT","Mix","AT",78,"PLI",21,"FDI",1,NA,NA,"static"
"140",140,"1222","IDF","dk",4,"FDI",64,"PLI",30,"AT",4,"SX",2,30,64,2,4," PLI FDI SX AT",2023,"Mix","FDI",64,"PLI",30,"AT",4,"SX",2,"FDI, PLI",4,96,0,0," PLI FDI","FDI","FDI",96,"PLI",4,NA,NA,NA,NA,"shift"
"141",141,"1225","IDF","dk",4,"PLI",90,"FDI",10,"",NA,"",NA,90,10,0,0," PLI FDI",2023,"PLI","PLI",90,"FDI",10,NA,NA,NA,NA,"FDI, PLI",36,64,0,0," PLI FDI","Mix","FDI",64,"PLI",36,NA,NA,NA,NA,"shift"
"142",142,"1235","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"FDI, PLI",99,1,0,0," PLI FDI","PLI","PLI",99,"FDI",1,NA,NA,NA,NA,"static"
"143",143,"1247","IDF","dk",4,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"AT, FDI, PLI",18,77,0,5," PLI FDI AT","Mix","FDI",77,"PLI",18,"AT",5,NA,NA,"shift"
"144",144,"1253","IDF","dk",4,"FDI",96,"PLI",4,"",NA,"",NA,4,96,0,0," PLI FDI",2023,"FDI","FDI",96,"PLI",4,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"145",145,"1257","IDF","dk",4,"FDI",100,"",NA,"",NA,"",NA,0,100,0,0," FDI",2023,"FDI","FDI",100,NA,NA,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"146",146,"1258","IDF","dk",4,"FDI",57,"PLI",26,"SX",15,"AT",2,26,57,15,2," PLI FDI SX AT",2023,"Mix","FDI",57,"PLI",26,"SX",15,"AT",2,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"147",147,"1259","IDF","dk",4,"FDI",62,"PLI",32,"SX",4,"AT",2,32,62,4,2," PLI FDI SX AT",2023,"Mix","FDI",62,"PLI",32,"SX",4,"AT",2,"AT, FDI, PLI",27,32,0,41," PLI FDI AT","Mix","AT",41,"FDI",32,"PLI",27,NA,NA,"static"
"148",148,"1261","IDF","dk",4,"FDI",60,"PLI",30,"SX",9,"AT",1,30,60,9,1," PLI FDI SX AT",2023,"Mix","FDI",60,"PLI",30,"SX",9,"AT",1,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"shift"
"149",149,"1264","IDF","dk",4,"PLI",63,"FDI",32,"SX",5,"",NA,63,32,5,0," PLI FDI SX",2023,"Mix","PLI",63,"FDI",32,"SX",5,NA,NA,"AT, PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"shift"
